AGE,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
24.4164383562,3,4,0,1,2,4,1,2,3,3,1,0,0,2,8,9.2,8
24.4219178082,4,7,0,0,2,4,1,5,6,4,2,3,0,2,10,14.2,8
24.4301369863,2,6,0,0,0,0,4,4,8,2,1,1,0,1,4,7.3,-7
24.4383561644,4,4,0,0,0,0,1,3,4,5,2,0,1,0,8,12.9,8
24.4438356164,3,5,0,0,5,7,0,2,2,4,5,0,2,1,11,13.9,-4
24.4520547945,5,12,0,1,2,2,2,9,11,4,5,0,1,4,12,14.9,-2
24.4575342466,3,7,0,2,0,2,0,4,4,2,2,0,2,1,6,3.7,-8
24.4630136986,2,6,0,2,2,4,1,0,1,1,0,0,0,2,6,2.4,-17
24.4657534247,2,2,1,1,0,0,2,4,6,4,2,1,3,2,5,8.7,28
24.4712328767,2,5,0,1,2,2,0,5,5,4,3,2,0,1,6,11.6,-5
24.4767123288,1,1,1,1,0,0,0,3,3,0,2,0,0,1,3,5.2,-14
24.4821917808,0,2,0,2,0,0,3,7,10,4,1,0,2,1,0,4.2,30
24.4876712329,7,8,1,1,1,2,3,1,4,4,0,1,3,3,16,14.5,24
24.4931506849,2,5,1,1,0,0,0,7,7,3,4,1,3,0,5,8.2,2
24.498630137,3,6,0,0,0,0,3,3,6,0,1,0,2,0,6,5,-2
24.504109589,3,4,0,0,1,2,1,2,3,2,1,1,0,2,7,8.6,3
24.5095890411,4,4,1,1,1,2,0,0,0,2,2,0,0,4,10,10.2,7
24.5178082192,2,4,0,1,1,2,0,1,1,5,2,1,0,0,5,9.1,6
24.5232876712,3,5,1,1,0,1,2,4,6,2,0,4,1,2,7,9.3,2
24.5260273973,4,10,1,3,0,0,1,3,4,1,3,1,1,3,9,7.4,-13
24.5342465753,3,4,0,0,1,1,2,3,5,3,2,1,0,2,7,11.7,12
24.5397260274,2,4,0,1,4,6,0,5,5,2,2,1,0,2,8,10,6
24.5452054795,4,7,1,1,1,1,0,0,0,2,2,0,0,1,10,9.7,-11
